Tiempo,Cantidad
0,500
1,500
2,500
3,500
4,500
5,499
6,499
7,500
8,501
9,500
10,499
11,498
12,498
13,499
14,498
15,498
16,498
17,497
18,498
19,498
20,498
21,499
22,500
23,500
24,499
25,498
26,498
27,498
28,499
29,499
30,498
31,499
32,500
33,501
34,501
35,501
36,501
37,500
38,501
39,500
40,499
41,499
42,499
43,500
44,501
45,502
46,502
47,502
48,502
49,503
50,502
51,502
52,501
53,501
54,501
55,501
56,501
57,502
58,503
59,504
60,504
61,504
62,504
63,505
64,505
65,505
66,505
67,505
68,505
69,505
70,505
71,506
72,507
73,507
74,507
75,507
76,507
77,508
78,508
79,508
80,507
81,507
82,508
83,508
84,508
85,508
86,508
87,508
88,508
89,508
90,508
91,509
92,509
93,508
94,508
95,509
96,508
97,508
98,508
99,508
100,509
101,510
102,510
103,510
104,510
105,510
106,510
107,510
108,509
109,510
110,510
111,510
112,511
113,512
114,511
115,511
116,512
117,513
118,514
119,514
120,514
121,513
122,513
123,512
124,512
125,512
126,511
127,510
128,509
129,509
130,509
131,509
132,508
133,507
134,507
135,507
136,507
137,507
138,506
139,505
140,506
141,507
142,507
143,506
144,506
145,505
146,506
147,505
148,505
149,505
150,504
151,503
152,503
153,503
154,502
155,501
156,501
157,500
158,500
159,499
160,498
161,497
162,498
163,499
164,499
165,498
166,497
167,496
168,496
169,495
170,495
171,495
172,495
173,496
174,496
175,496
176,496
177,495
178,496
179,495
180,494
181,494
182,495
183,494
184,495
185,496
186,497
187,497
188,496
189,496
190,495
191,496
192,496
193,496
194,496
195,497
196,497
197,496
198,496
199,495
200,495
201,495
202,495
203,494
204,493
205,492
206,492
207,492
208,492
209,492
210,491
211,491
212,491
213,491
214,491
215,491
216,492
217,492
218,492
219,492
220,492
221,492
222,492
223,491
224,490
225,491
226,492
227,493
228,493
229,493
230,494
231,494
232,494
233,494
234,495
235,495
236,495
237,494
238,494
239,493
240,493
241,493
242,493
243,494
244,493
245,493
246,493
247,492
248,492
249,493
250,494
251,494
252,494
253,494
254,494
255,494
256,493
257,492
258,493
259,494
260,495
261,495
262,494
263,494
264,493
265,492
266,492
267,491
268,491
269,491
270,492
271,492
272,491
273,490
274,490
275,490
276,490
277,490
278,489
279,488
280,489
281,490
282,490
283,491
284,490
285,489
286,490
287,491
288,492
289,491
290,492
291,492
292,491
293,492
294,492
295,492
296,492
297,492
298,492
299,493
300,493
301,494
302,495
303,495
304,494
305,494
306,495
307,495
308,495
309,495
310,495
311,495
312,495
313,495
314,495
315,494
316,494
317,493
318,492
319,492
320,493
321,493
322,494
323,495
324,495
325,494
326,494
327,494
328,494
329,493
330,494
331,493
332,493
333,492
334,493
335,492
336,492
337,493
338,493
339,492
340,492
341,493
342,493
343,492
344,491
345,491
346,492
347,493
348,494
349,494
350,495
351,494
352,494
353,495
354,494
355,493
356,492
357,493
358,494
359,494
360,495
361,495
362,495
363,495
364,496
365,496
366,495
367,495
368,495
369,496
370,497
371,498
372,498
373,497
374,497
375,497
376,497
377,497
378,497
379,498
380,499
381,500
382,500
383,500
384,499
385,498
386,499
387,499
388,499
389,499
390,500
391,501
392,501
393,502
394,502
395,503
396,503
397,502
398,502
399,502
400,502
401,502
402,503
403,504
404,504
405,503
406,503
407,504
408,503
409,503
410,502
411,502
412,502
413,503
414,503
415,502
416,502
417,502
418,502
419,502
420,503
421,504
422,505
423,506
424,506
425,507
426,506
427,507
428,507
429,507
430,507
431,507
432,506
433,506
434,507
435,507
436,507
437,508
438,509
439,510
440,510
441,511
442,511
443,511
444,510
445,511
446,512
447,513
448,513
449,513
450,513
451,513
452,513
453,513
454,513
455,514
456,514
457,515
458,514
459,513
460,512
461,511
462,512
463,512
464,511
465,510
466,509
467,509
468,510
469,509
470,509
471,510
472,510
473,509
474,509
475,508
476,507
477,507
478,507
479,507
480,507
481,508
482,508
483,507
484,506
485,507
486,506
487,506
488,506
489,505
490,504
491,504
492,504
493,504
494,503
495,503
496,502
497,502
498,502
499,502
500,502
501,503
502,502
503,501
504,501
505,502
506,502
507,503
508,503
509,503
510,503
511,503
512,502
513,502
514,502
515,502
516,502
517,501
518,502
519,501
520,502
521,502
522,502
523,501
524,501
525,500
526,501
527,501
528,502
529,503
530,503
531,504
532,504
533,504
534,503
535,503
536,504
537,504
538,504
539,505
540,504
541,504
542,504
543,504
544,503
545,503
546,503
547,504
548,504
549,503
550,502
551,502
552,502
553,502
554,502
555,503
556,503
557,502
558,502
559,502
560,501
561,501
562,502
563,503
564,502
565,502
566,502
567,502
568,503
569,503
570,503
571,502
572,503
573,502
574,501
575,502
576,503
577,502
578,503
579,503
580,503
581,504
582,504
583,503
584,503
585,503
586,504
587,504
588,505
589,505
590,505
591,505
592,505
593,506
594,506
595,505
596,505
597,506
598,506
599,506
600,506
601,507
602,507
603,507
604,506
605,507
606,508
607,507
608,507
609,507
610,507
611,506
612,506
613,506
614,506
615,507
616,506
617,507
618,506
619,507
620,507
621,507
622,507
623,507
624,506
625,506
626,506
627,507
628,506
629,506
630,505
631,506
632,507
633,507
634,506
635,505
636,505
637,505
638,504
639,504
640,505
641,506
642,505
643,504
644,503
645,502
646,502
647,501
648,502
649,502
650,501
651,502
652,502
653,501
654,501
655,500
656,501
657,502
658,502
659,502
660,503
661,502
662,503
663,502
664,503
665,502
666,502
667,503
668,502
669,501
670,501
671,501
672,501
673,502
674,502
675,501
676,502
677,502
678,502
679,502
680,502
681,502
682,502
683,503
684,503
685,502
686,502
687,502
688,502
689,503
690,502
691,502
692,502
693,503
694,502
695,501
696,502
697,501
698,501
699,501
700,501
701,500
702,500
703,500
704,500
705,500
706,500
707,500
708,500
709,500
710,501
711,500
712,499
713,500
714,500
715,500
716,501
717,500
718,499
719,499
720,499
721,499
722,499
723,498
724,497
725,497
726,497
727,497
728,497
729,497
730,496
731,496
732,496
733,495
734,494
735,495
736,495
737,496
738,496
739,496
740,496
741,496
742,497
743,497
744,496
745,496
746,495
747,495
748,496
749,496
750,497
751,498
752,497
753,498
754,499
755,500
756,500
757,500
758,501
759,501
760,500
761,500
762,501
763,501
764,501
765,501
766,501
767,501
768,501
769,500
770,499
771,499
772,499
773,499
774,499
775,499
776,498
777,498
778,499
779,500
780,499
781,498
782,499
783,499
784,499
785,498
786,498
787,497
788,497
789,498
790,498
791,498
792,498
793,497
794,496
795,496
796,496
797,496
798,497
799,497
800,498
801,499
802,498
803,499
804,500
805,500
806,500
807,501
808,500
809,500
810,499
811,500
812,501
813,501
814,501
815,500
816,501
817,501
818,501
819,502
820,502
821,502
822,501
823,501
824,501
825,501
826,501
827,501
828,501
829,501
830,501
831,500
832,501
833,501
834,500
835,499
836,499
837,500
838,500
839,500
840,500
841,501
842,501
843,501
844,501
845,500
846,501
847,501
848,501
849,500
850,500
851,500
852,500
853,500
854,500
855,501
856,500
857,501
858,501
859,500
860,500
861,500
862,499
863,498
864,499
865,498
866,498
867,499
868,499
869,500
870,501
871,501
872,501
873,502
874,502
875,502
876,502
877,502
878,501
879,501
880,501
881,502
882,503
883,502
884,503
885,503
886,503
887,504
888,504
889,505
890,506
891,505
892,506
893,506
894,507
895,508
896,509
897,508
898,509
899,509
900,510
901,510
902,510
903,510
904,511
905,512
906,511
907,511
908,511
909,512
910,513
911,512
912,512
913,512
914,512
915,512
916,512
917,512
918,511
919,512
920,512
921,511
922,510
923,510
924,510
925,510
926,510
927,511
928,511
929,511
930,512
931,513
932,513
933,513
934,513
935,513
936,513
937,513
938,514
939,514
940,515
941,515
942,516
943,516
944,515
945,516
946,515
947,515
948,514
949,514
950,514
951,513
952,513
953,513
954,513
955,514
956,514
957,515
958,515
959,514
960,514
961,514
962,513
963,513
964,513
965,513
966,513
967,512
968,512
969,513
970,513
971,514
972,513
973,512
974,512
975,513
976,513
977,512
978,513
979,513
980,512
981,512
982,511
983,511
984,512
985,511
986,512
987,511
988,511
989,510
990,510
991,509
992,509
993,508
994,508
995,509
996,509
997,509
998,508
999,509
1000,510
1001,510
1002,509
1003,510
1004,511
1005,510
1006,509
1007,508
1008,509
1009,509
1010,509
1011,509
1012,509
1013,510
1014,509
1015,510
1016,509
1017,508
1018,508
1019,508
1020,508
1021,508
1022,508
1023,509
1024,508
1025,508
1026,508
1027,507
1028,507
1029,507
1030,508
1031,509
1032,509
1033,510
1034,509
1035,510
1036,510
1037,511
1038,510
1039,509
1040,510
1041,511
1042,511
1043,511
1044,512
1045,511
1046,511
1047,511
1048,511
1049,511
1050,510
1051,509
1052,508
1053,509
1054,509
1055,510
1056,511
1057,510
1058,509
1059,508
1060,509
1061,510
1062,511
1063,510
1064,510
1065,510
1066,510
1067,510
1068,511
1069,512
1070,512
1071,513
1072,514
1073,513
1074,512
1075,511
1076,511
1077,512
1078,513
1079,513
1080,514
1081,513
1082,512
1083,512
1084,513
1085,513
1086,514
1087,514
1088,513
1089,513
1090,512
1091,511
1092,511
1093,510
1094,510
1095,510
1096,510
1097,510
1098,510
1099,511
1100,510
1101,509
1102,510
1103,509
1104,509
1105,510
1106,511
1107,512
1108,511
1109,510
1110,510
1111,509
1112,508
1113,507
1114,507
1115,507
1116,506
1117,506
1118,507
1119,506
1120,507
1121,506
1122,506
1123,505
1124,505
1125,504
1126,504
1127,504
1128,504
1129,504
1130,505
1131,504
1132,505
1133,505
1134,505
1135,505
1136,506
1137,507
1138,507
1139,507
1140,507
1141,508
1142,508
1143,509
1144,510
1145,510
1146,509
1147,510
1148,510
1149,510
1150,509
1151,510
1152,511
1153,511
1154,510
1155,510
1156,511
1157,512
1158,512
1159,512
1160,513
1161,513
1162,512
1163,512
1164,512
1165,511
1166,511
1167,511
1168,512
1169,511
1170,512
1171,513
1172,514
1173,514
1174,514
1175,514
1176,513
1177,513
1178,512
1179,512
1180,512
1181,512
1182,511
1183,511
1184,511
1185,512
1186,513
1187,513
1188,514
1189,514
1190,513
1191,512
1192,513
1193,512
1194,512
1195,512
1196,512
1197,512
1198,511
1199,511
1200,511
1201,511
1202,511
1203,510
1204,509
1205,509
1206,509
1207,509
1208,508
1209,507
1210,507
1211,506
1212,507
1213,507
1214,507
1215,508
1216,507
1217,507
1218,508
1219,507
1220,507
1221,506
1222,505
1223,506
1224,505
1225,504
1226,504
1227,505
1228,505
1229,505
1230,505
1231,505
1232,505
1233,505
1234,505
1235,505
1236,505
1237,505
